UNIX time mavlink, time since system boot mavlink, lat, lon, alt, relative_alt, vx, vy, vz, hdg
1634916896876385,8850236,458161453,118829889,54140,-3550,0,1,0,35933
1634916903378213,8856738,458171336,118829724,54260,-3563,0,0,0,35932
1634916907382522,8860742,458177628,118829613,54230,-3559,0,0,0,35933
1634916911378194,8864738,458184241,118829485,54220,-3592,0,0,1,35930
1634916915373272,8868733,458190857,118829346,54310,-3565,0,1,0,35930
1634916919375128,8872735,458197469,118829208,54220,-3555,0,0,0,35930
1634916923375538,8876735,458204093,118829073,54160,-3568,2,0,1,35927
1634916927379175,8880739,458210695,118828927,54160,-3573,2,0,1,35924
1634916930878975,8884238,458216304,118828808,54100,-3600,1,1,1,35923
1634916935376530,8888736,458223565,118828671,54000,-3633,0,0,1,35924
