UNIX time mavlink, time since system boot mavlink, lat, lon, alt, relative_alt, vx, vy, vz, hdg
1634916511875342,8465235,457529192,118839628,54140,-3611,0,1,0,35963
1634916517873245,8471233,457539098,118839491,54040,-3601,0,0,0,35962
1634916521876158,8475236,457545700,118839366,54190,-3607,0,0,0,35961
1634916525374539,8478734,457551315,118839253,54180,-3652,0,0,1,35962
1634916529378181,8482738,457557917,118839114,54100,-3639,2,0,1,35961
1634916533373489,8486733,457564511,118838975,54070,-3629,1,0,0,35959
1634916536875300,8490235,457570118,118838866,54100,-3650,3,0,0,35960
1634916540377544,8493737,457576066,118838756,54040,-3596,2,0,-1,35958
1634916544376951,8497736,457582339,118838651,54140,-3610,0,-2,0,35957
1634916548377139,8501737,457589936,118838538,54080,-3611,0,-1,0,35955
