time_elapsed,pm25 [ug]/m3,pm10 [ug]/m3,WE_NO2  [mV] ,AE_NO2  [mV] ,WE_CO  [mV] ,AE_CO [mV],data,ora
6.9141387939453125e-06,3.3,7.4,297.375,307.5,363.90625,274.78125,16/07/2021,11:30:37
4.3946332931518555,3.2,7.7,295.59375,304.6875,363.65625,274.28125,16/07/2021,11:30:41
7.1705405712127686,3.2,7.4,295.65625,306.78125,367.96875,278.65625,16/07/2021,11:30:44
10.051021337509155,3.2,7.3,296.875,302.71875,359.75,272.625,16/07/2021,11:30:47
12.779886960983276,3.0,6.9,296.59375,305.21875,364.25,276.8125,16/07/2021,11:30:50
15.549915075302124,3.0,6.6,295.03125,301.5,364.40625,274.28125,16/07/2021,11:30:53
18.396456718444824,3.1,6.4,295.9375,305.8125,368.6875,276.8125,16/07/2021,11:30:55
21.17326331138611,3.1,6.2,297.5625,302.03125,365.1875,275.75,16/07/2021,11:30:58
24.477280855178833,3.2,6.5,297.5,301.8125,365.125,275.96875,16/07/2021,11:31:01
27.292057752609253,3.1,6.3,296.96875,301.28125,366.4375,276.28125,16/07/2021,11:31:04
32.082273960113525,3.1,6.2,296.125,302.8125,362.125,273.25,16/07/2021,11:31:09
34.88308787345886,3.1,6.1,295.5,302.0,364.6875,275.125,16/07/2021,11:31:12
38.00887894630432,3.2,6.0,295.90625,307.15625,363.90625,275.8125,16/07/2021,11:31:15
41.50466322898865,3.1,6.6,297.21875,304.46875,366.0625,277.3125,16/07/2021,11:31:19
44.22600555419922,3.1,6.5,297.46875,304.34375,364.9375,275.46875,16/07/2021,11:31:21
46.96991586685181,3.1,6.3,296.125,304.65625,362.71875,272.25,16/07/2021,11:31:24
