time_elapsed,pm25 [ug]/m3,pm10 [ug]/m3,NO2  [ug/m3] ,CO  [ug/m3] ,niente,niente,data,ora
2.574920654296875e-05,3.5,5.3,14.148509174311926,318.38431490384613,0.0,0.0,16/07/2021,11:53:30
3.633272886276245,3.5,5.6,26.16800458715596,377.62980769230774,0.0,0.0,16/07/2021,11:53:33
5.432734966278076,3.5,5.5,48.320527522935784,375.22145432692304,0.0,0.0,16/07/2021,11:53:35
7.16701078414917,3.5,5.4,25.65596330275229,366.89543269230774,0.0,0.0,16/07/2021,11:53:37
8.930966854095459,3.5,5.4,-42.6072247706422,358.29417067307696,0.0,0.0,16/07/2021,11:53:39
10.633530855178833,3.6,6.3,-53.440940366972484,392.3551682692308,0.0,0.0,16/07/2021,11:53:40
12.424546480178833,3.6,6.2,4.258027522935775,387.1944110576923,0.0,0.0,16/07/2021,11:53:42
14.199389934539795,3.6,6.3,-56.16284403669725,387.33203125,0.0,0.0,16/07/2021,11:53:44
16.01025915145874,3.7,6.1,25.17087155963302,386.57512019230774,0.0,0.0,16/07/2021,11:53:46
17.87329864501953,3.7,5.5,-16.43922018348624,369.5102163461538,0.0,0.0,16/07/2021,11:53:48
19.724992990493774,3.8,6.6,-73.11410550458716,377.3545673076923,0.0,0.0,16/07/2021,11:53:49
21.587212562561035,3.8,6.7,-38.133600917431195,378.1114783653846,0.0,0.0,16/07/2021,11:53:51
23.372632265090942,3.8,7.1,-10.698967889908257,389.05228365384613,0.0,0.0,16/07/2021,11:53:53
25.09060263633728,3.8,7.6,-80.63302752293576,352.85817307692304,0.0,0.0,16/07/2021,11:53:55
26.841346502304077,3.8,7.4,10.213876146788992,366.2073317307692,0.0,0.0,16/07/2021,11:53:56
28.578784465789795,3.8,7.4,-63.87041284403669,401.3692908653846,0.0,0.0,16/07/2021,11:53:58
30.33724856376648,3.8,7.5,-67.42775229357798,344.66977163461536,0.0,0.0,16/07/2021,11:54:00
