UNIX time mavlink, time since system boot mavlink, lat, lon, alt, relative_alt, vx, vy, vz, hdg
0,23748,0,23748,0,0,0,0,0,0
1632490565084731,28248,380093,28248,0,0,0,0,0,0
1632490570586230,33750,380093,33750,0,0,0,0,0,0
1632490574579966,37744,380093,37744,0,0,0,0,0,0
1632490578084469,41248,380093,41248,0,0,0,0,0,0
1632490581082841,44246,380093,44246,0,0,0,0,0,0
1632490584582241,47746,380093,47746,0,0,0,0,0,0
1632490587585996,50750,380093,50750,0,0,0,0,0,0
1632490590581141,53745,380093,53745,0,0,0,0,0,0
1632490593582027,56746,380093,56746,0,0,0,0,0,0
1632490596584956,59748,380093,59748,0,0,0,0,0,0
1632490600080132,63244,380093,63244,0,0,0,0,0,0
1632490603586886,66750,380093,66750,0,0,0,0,0,0
1632490607079516,70243,380093,70243,0,0,0,0,0,0
1632490610085010,73249,380093,73249,0,0,0,0,0,0
1632490613085935,76249,380093,76249,0,0,0,0,0,0
1632490616084478,79248,380093,79248,0,0,0,0,0,0
1632490619084984,82249,380093,82249,0,0,0,0,0,0
1632490622079503,85243,380093,85243,0,0,0,0,0,0
1632490625079770,88243,380093,88243,0,0,0,0,0,0
1632490629085132,92249,380093,92249,0,0,0,0,0,0
1632490632581033,95745,380093,95745,0,0,0,0,0,0
