UNIX time mavlink, time since system boot mavlink, lat, lon, alt, relative_alt, vx, vy, vz, hdg
1632490716082878,179246,380093,179246,0,0,0,0,0,0
1632490720579952,183743,380093,183743,0,0,0,0,0,0
1632490723581246,186745,380093,186745,0,0,0,0,0,0
1632490727580054,190744,380093,190744,0,0,0,0,0,0
1632490730580947,193744,380093,193744,0,0,0,0,0,0
1632490734081882,197245,380093,197245,0,0,0,0,0,0
1632490737584991,200749,380093,200749,0,0,0,0,0,0
1632490740584901,203748,380093,203748,0,0,0,0,0,0
1632490743584752,206748,380093,206748,0,0,0,0,0,0
1632490746580923,209744,380093,209744,0,0,0,0,0,0
1632490749586730,212750,380093,212750,0,0,0,0,0,0
1632490753082738,216246,380093,216246,0,0,0,0,0,0
1632490756580917,219744,380093,219744,0,0,0,0,0,0
1632490760085903,223249,380093,223249,0,0,0,0,0,0
1632490763084036,226248,380093,226248,0,0,0,0,0,0
1632490766088252,229252,380093,229252,0,0,0,0,0,0
1632490769588027,232752,380093,232752,0,0,0,0,0,0
1632490773084858,236248,380093,236248,0,0,0,0,0,0
1632490776088778,239252,380093,239252,0,0,0,0,0,0
1632490779579756,242743,380093,242743,0,0,0,0,0,0
1632490783080603,246244,380093,246244,0,0,0,0,0,0
