time_elapsed,pm25 [ug]/m3,pm10 [ug]/m3,WE_NO2  [mV] ,AE_NO2  [mV] ,WE_CO  [mV] ,AE_CO [mV],data,ora
1.33514404296875e-05,7.0,8.9,293.0,303.84375,309.78125,255.40625,14/09/2021,14:55:43
4.604294061660767,7.0,10.0,294.5,302.5625,316.875,265.84375,14/09/2021,14:55:48
7.750631093978882,7.0,10.3,293.9375,304.4375,317.1875,266.40625,14/09/2021,14:55:51
10.914656400680542,7.0,10.1,296.1875,306.53125,313.21875,264.375,14/09/2021,14:55:54
13.765037298202515,7.0,9.1,295.3125,304.75,320.8125,275.03125,14/09/2021,14:55:57
16.793904304504395,6.9,9.1,293.75,302.21875,320.875,272.0,14/09/2021,14:56:00
19.81771993637085,7.0,8.9,296.9375,305.46875,314.21875,257.34375,14/09/2021,14:56:03
22.814788341522217,7.0,8.7,295.71875,302.96875,315.5,260.53125,14/09/2021,14:56:06
25.721415042877197,7.0,8.8,294.4375,306.25,310.84375,253.5,14/09/2021,14:56:09
28.75000286102295,7.1,8.9,292.625,305.25,311.53125,242.9375,14/09/2021,14:56:12
31.801456212997437,7.1,9.0,294.0,302.53125,316.5,222.71875,14/09/2021,14:56:15
34.757092237472534,7.0,8.5,294.125,304.40625,321.5625,272.90625,14/09/2021,14:56:18
37.82579708099365,7.0,8.6,293.6875,301.0625,323.375,272.0625,14/09/2021,14:56:21
40.79738116264343,7.0,8.6,293.65625,306.09375,318.125,271.71875,14/09/2021,14:56:24
43.819865226745605,7.0,8.8,292.375,304.625,319.4375,267.5625,14/09/2021,14:56:27
46.7235689163208,7.1,9.4,293.875,301.6875,317.4375,263.28125,14/09/2021,14:56:30
49.71072053909302,7.1,9.6,296.875,306.15625,320.40625,269.40625,14/09/2021,14:56:33
53.24085879325867,7.1,9.6,298.65625,304.21875,320.03125,270.21875,14/09/2021,14:56:36
56.232250690460205,7.1,9.6,295.0625,303.0625,322.78125,270.46875,14/09/2021,14:56:39
59.22890663146973,7.2,9.6,293.34375,300.53125,312.03125,259.3125,14/09/2021,14:56:42
62.25917315483093,7.2,9.3,293.5625,306.71875,319.1875,269.59375,14/09/2021,14:56:45
65.2666232585907,7.1,9.2,294.46875,304.5,313.4375,255.5,14/09/2021,14:56:48
68.22366762161255,7.0,9.1,294.875,306.84375,321.5625,274.40625,14/09/2021,14:56:51
71.29237866401672,6.9,8.8,293.34375,303.34375,322.96875,274.1875,14/09/2021,14:56:54
74.29693460464478,7.0,8.9,294.0,308.40625,306.5625,245.875,14/09/2021,14:56:57
77.29791617393494,6.9,8.9,295.6875,303.96875,314.34375,255.375,14/09/2021,14:57:00
80.31606245040894,6.8,8.8,295.15625,306.15625,315.9375,236.59375,14/09/2021,14:57:03
83.28421092033386,6.9,9.0,295.40625,304.78125,317.0,232.40625,14/09/2021,14:57:06
86.21480989456177,7.0,9.0,296.34375,301.5,319.5,236.78125,14/09/2021,14:57:09
89.22103190422058,7.0,8.9,296.25,307.375,322.71875,273.9375,14/09/2021,14:57:12
92.22033715248108,7.0,8.8,296.4375,300.0,319.09375,270.625,14/09/2021,14:57:15
95.22438526153564,6.9,7.7,298.15625,303.15625,320.78125,270.28125,14/09/2021,14:57:18
98.23731803894043,6.9,7.7,296.84375,302.4375,318.28125,262.625,14/09/2021,14:57:21
101.24646735191345,6.9,7.6,295.5,300.78125,314.25,259.21875,14/09/2021,14:57:24
104.2305555343628,7.0,7.8,295.375,305.09375,315.875,257.625,14/09/2021,14:57:27
107.2837405204773,6.9,8.2,294.75,300.65625,315.03125,263.90625,14/09/2021,14:57:30
110.24785542488098,6.9,8.8,295.25,304.6875,309.96875,219.6875,14/09/2021,14:57:33
113.23317384719849,6.9,8.7,296.53125,303.28125,317.15625,259.3125,14/09/2021,14:57:36
116.24955987930298,6.9,9.2,295.625,300.09375,318.53125,261.0,14/09/2021,14:57:39
119.26900744438171,6.9,9.1,295.125,302.09375,313.34375,260.09375,14/09/2021,14:57:42
122.26993346214294,6.9,9.0,295.34375,302.21875,314.34375,261.28125,14/09/2021,14:57:45
125.26907587051392,6.9,8.9,294.78125,305.21875,311.0,256.84375,14/09/2021,14:57:48
128.28304886817932,6.9,8.8,296.15625,302.21875,319.53125,272.125,14/09/2021,14:57:51
131.2554588317871,6.9,9.0,295.78125,303.5,321.0,268.34375,14/09/2021,14:57:54
134.28926253318787,7.0,9.2,293.90625,303.46875,307.65625,237.3125,14/09/2021,14:57:57
137.2944312095642,6.9,8.6,298.875,301.5,323.65625,268.25,14/09/2021,14:58:00
140.30035781860352,6.9,8.6,298.03125,303.03125,322.6875,271.0625,14/09/2021,14:58:03
143.29956150054932,6.9,8.6,296.25,301.5,322.75,266.21875,14/09/2021,14:58:06
146.30106258392334,7.0,8.6,295.375,300.625,322.125,270.6875,14/09/2021,14:58:09
149.29257988929749,6.9,8.7,298.9375,302.84375,319.03125,265.75,14/09/2021,14:58:12
152.27316665649414,6.9,8.5,296.5625,303.96875,321.65625,270.1875,14/09/2021,14:58:15
155.2897505760193,6.9,8.6,297.75,306.1875,317.71875,263.34375,14/09/2021,14:58:18
158.32295632362366,6.9,8.4,293.96875,302.6875,319.625,267.53125,14/09/2021,14:58:21
161.30941438674927,6.9,8.4,293.96875,305.4375,312.40625,252.25,14/09/2021,14:58:24
164.35168838500977,6.8,8.3,294.15625,300.53125,322.75,273.125,14/09/2021,14:58:27
167.31061673164368,6.7,8.2,294.78125,309.125,322.65625,268.59375,14/09/2021,14:58:30
170.2841386795044,6.8,9.8,294.90625,303.5,314.5625,236.375,14/09/2021,14:58:33
173.28551530838013,6.7,9.5,294.71875,303.03125,320.34375,261.25,14/09/2021,14:58:36
176.28248572349548,6.6,9.9,293.96875,304.25,322.34375,274.0625,14/09/2021,14:58:39
179.28210711479187,6.6,9.9,292.625,301.84375,320.46875,272.4375,14/09/2021,14:58:42
182.25983929634094,6.6,10.0,296.9375,306.59375,320.34375,270.03125,14/09/2021,14:58:46
185.8012993335724,6.6,10.0,296.15625,303.84375,317.90625,267.53125,14/09/2021,14:58:49
188.8027150630951,6.6,10.3,294.75,304.71875,310.875,254.25,14/09/2021,14:58:52
191.83641600608826,6.7,10.4,295.15625,303.40625,316.53125,263.34375,14/09/2021,14:58:55
194.812894821167,6.6,10.3,293.9375,304.53125,316.34375,268.0,14/09/2021,14:58:58
197.84424662590027,6.6,9.2,291.09375,304.84375,316.75,259.46875,14/09/2021,14:59:01
200.80978989601135,6.6,8.5,292.90625,302.34375,322.34375,276.25,14/09/2021,14:59:04
203.8037612438202,6.5,8.5,293.25,308.28125,315.5,265.59375,14/09/2021,14:59:07
206.80149006843567,6.5,8.4,293.5625,302.46875,317.1875,268.15625,14/09/2021,14:59:10
209.82196021080017,6.5,8.3,295.1875,305.03125,317.0,266.71875,14/09/2021,14:59:13
212.85054731369019,6.5,8.4,296.6875,307.3125,316.59375,266.53125,14/09/2021,14:59:16
215.79068899154663,6.5,8.3,295.125,302.875,312.5,257.375,14/09/2021,14:59:19
218.80945014953613,6.6,8.5,295.09375,303.71875,320.15625,270.625,14/09/2021,14:59:22
221.82053995132446,6.6,9.4,294.125,303.09375,318.9375,271.375,14/09/2021,14:59:25
224.82739281654358,6.6,9.2,292.9375,304.5,310.53125,249.1875,14/09/2021,14:59:28
227.85116624832153,6.6,9.2,293.5,303.5,313.15625,261.5,14/09/2021,14:59:31
231.32462978363037,6.6,9.3,293.09375,302.9375,315.625,268.25,14/09/2021,14:59:34
234.33268642425537,6.6,9.3,294.65625,303.53125,312.9375,259.78125,14/09/2021,14:59:37
237.3347668647766,6.6,9.2,294.28125,304.875,321.8125,273.46875,14/09/2021,14:59:40
240.26082730293274,6.6,9.0,294.8125,307.90625,316.03125,267.9375,14/09/2021,14:59:43
243.27691388130188,6.6,9.7,295.0,302.5,306.125,241.25,14/09/2021,14:59:46
246.32296752929688,6.6,9.7,295.59375,305.46875,317.375,264.28125,14/09/2021,14:59:49
249.28605771064758,6.6,9.8,295.09375,302.9375,322.25,269.59375,14/09/2021,14:59:52
252.29977750778198,6.7,9.8,295.28125,303.34375,318.1875,260.625,14/09/2021,14:59:55
255.34111189842224,6.7,9.8,297.4375,301.40625,319.1875,268.46875,14/09/2021,14:59:58
258.3197808265686,6.8,9.8,297.0625,301.75,317.5625,265.3125,14/09/2021,15:00:01
261.3397717475891,6.7,8.3,296.71875,302.1875,317.78125,268.3125,14/09/2021,15:00:04
264.2871298789978,6.8,8.9,295.59375,307.78125,312.53125,259.84375,14/09/2021,15:00:07
267.2455315589905,6.9,9.0,297.5625,302.34375,316.3125,266.84375,14/09/2021,15:00:10
270.28153252601624,6.9,9.1,297.0625,303.125,314.03125,252.8125,14/09/2021,15:00:13
273.2725329399109,6.9,9.1,302.4375,300.75,321.5625,270.4375,14/09/2021,15:00:16
276.52489590644836,6.9,9.0,313.09375,304.6875,313.9375,240.0,14/09/2021,15:00:20
279.8900692462921,6.9,8.8,303.5625,304.4375,320.21875,263.09375,14/09/2021,15:00:23
282.8100929260254,6.8,8.7,290.625,301.90625,321.34375,270.46875,14/09/2021,15:00:26
285.80819177627563,6.8,8.8,287.5,305.65625,323.96875,271.53125,14/09/2021,15:00:29
288.8438923358917,6.8,8.7,288.8125,301.59375,320.8125,269.875,14/09/2021,15:00:32
291.7808129787445,6.8,8.7,293.75,305.6875,321.53125,270.78125,14/09/2021,15:00:35
294.82472944259644,6.8,8.7,299.34375,302.375,314.96875,249.15625,14/09/2021,15:00:38
298.1905994415283,6.8,8.4,310.09375,304.25,310.71875,238.03125,14/09/2021,15:00:41
