UNIX time mavlink, time since system boot mavlink, lat, lon, alt, relative_alt, vx, vy, vz, hdg
1632490830082924,293246,380093,293246,0,0,0,0,0,0
1632490834584800,297748,380093,297748,0,0,0,0,0,0
1632490837579951,300743,380093,300743,0,0,0,0,0,0
1632490841080515,304244,380093,304244,0,0,0,0,0,0
1632490844084833,307248,380093,307248,0,0,0,0,0,0
1632490847083986,310248,380093,310248,0,0,0,0,0,0
1632490850083794,313247,380093,313247,0,0,0,0,0,0
1632490853585223,316749,380093,316749,0,0,0,0,0,0
1632490856582220,319746,380093,319746,0,0,0,0,0,0
1632490859584966,322749,380093,322749,0,0,0,0,0,0
1632490863080660,326244,380093,326244,0,0,0,0,0,0
1632490866080939,329244,380093,329244,0,0,0,0,0,0
1632490869080720,332244,380093,332244,0,0,0,0,0,0
1632490872083496,335247,380093,335247,0,0,0,0,0,0
1632490875084790,338248,380093,338248,0,0,0,0,0,0
1632490878085235,341249,380093,341249,0,0,0,0,0,0
1632490881087293,344251,380093,344251,0,0,0,0,0,0
1632490884086811,347250,380093,347250,0,0,0,0,0,0
1632490887082978,350247,380093,350247,0,0,0,0,0,0
1632490890083944,353247,380093,353247,0,0,0,0,0,0
1632490893088673,356252,380093,356252,0,0,0,0,0,0
1632490896084056,359248,380093,359248,0,0,0,0,0,0
