time_elapsed,pm25 [ug]/m3,pm10 [ug]/m3,WE_NO2  [mV] ,AE_NO2  [mV] ,WE_CO  [mV] ,AE_CO [mV],data,ora
1.049041748046875e-05,17.6,21.8,295.9375,308.59375,325.5625,268.8125,24/09/2021,16:26:19
4.861860752105713,17.7,22.7,294.3125,305.125,324.875,269.5,24/09/2021,16:26:24
7.866274356842041,17.6,22.9,294.78125,301.0625,323.5,269.65625,24/09/2021,16:26:27
11.02892780303955,17.6,22.8,294.03125,302.15625,324.84375,272.59375,24/09/2021,16:26:30
14.36923098564148,17.6,23.7,295.40625,301.84375,324.5625,271.625,24/09/2021,16:26:33
17.386465311050415,17.7,23.9,295.5625,302.65625,321.71875,265.21875,24/09/2021,16:26:36
20.4422926902771,17.8,24.6,296.40625,303.53125,327.0,273.9375,24/09/2021,16:26:39
23.492396593093872,17.8,25.0,296.34375,302.90625,327.71875,269.5625,24/09/2021,16:26:43
26.80937433242798,17.8,25.4,296.875,307.71875,322.28125,272.28125,24/09/2021,16:26:46
29.85779571533203,17.8,26.2,293.375,303.84375,322.5,266.9375,24/09/2021,16:26:49
32.839980602264404,17.8,27.2,294.84375,302.8125,319.59375,258.1875,24/09/2021,16:26:52
35.86503028869629,17.7,26.4,294.28125,308.9375,321.15625,263.53125,24/09/2021,16:26:55
38.90205693244934,17.6,26.2,294.6875,306.9375,326.375,274.71875,24/09/2021,16:26:58
41.89733386039734,17.8,25.9,293.5625,302.65625,312.84375,237.625,24/09/2021,16:27:01
44.81473970413208,17.9,27.2,296.78125,304.125,323.15625,269.71875,24/09/2021,16:27:04
47.838374376297,17.9,27.5,295.75,305.125,326.40625,270.59375,24/09/2021,16:27:07
50.815171241760254,17.9,27.1,296.625,309.5625,320.96875,256.59375,24/09/2021,16:27:10
53.84356212615967,17.8,27.6,296.875,306.40625,321.46875,265.125,24/09/2021,16:27:13
56.76015543937683,17.8,27.7,296.875,307.3125,326.59375,268.6875,24/09/2021,16:27:16
59.79095697402954,17.8,27.7,296.1875,307.9375,325.34375,272.5,24/09/2021,16:27:19
62.81554913520813,18.0,27.8,294.5,307.40625,326.125,271.34375,24/09/2021,16:27:22
