UNIX time mavlink, time since system boot mavlink, lat, lon, alt, relative_alt, vx, vy, vz, hdg
1632493580586218,3043750,380094,3043750,0,0,0,0,0,0
1632493585086448,3048250,380094,3048250,0,0,0,0,0,0
1632493588080254,3051244,380094,3051244,0,0,0,0,0,0
1632493591584821,3054748,380094,3054748,0,0,0,0,0,0
1632493594580019,3057744,380094,3057744,0,0,0,0,0,0
1632493597583038,3060747,380094,3060747,0,0,0,0,0,0
1632493600586012,3063750,380094,3063750,0,0,0,0,0,0
1632493604081442,3067245,380094,3067245,0,0,0,0,0,0
1632493607079892,3070243,380094,3070243,0,0,0,0,0,0
1632493610084987,3073249,380094,3073249,0,0,0,0,0,0
1632493613080487,3076244,380094,3076244,0,0,0,0,0,0
1632493616079840,3079243,380094,3079243,0,0,0,0,0,0
1632493619081887,3082245,380094,3082245,0,0,0,0,0,0
1632493622084001,3085248,380094,3085248,0,0,0,0,0,0
1632493625082272,3088246,380094,3088246,0,0,0,0,0,0
1632493628082964,3091247,380094,3091247,0,0,0,0,0,0
1632493631082219,3094246,380094,3094246,0,0,0,0,0,0
1632493634085964,3097249,380094,3097249,0,0,0,0,0,0
1632493637082725,3100246,380094,3100246,0,0,0,0,0,0
1632493640082484,3103246,380094,3103246,0,0,0,0,0,0
1632493643086042,3106250,380094,3106250,0,0,0,0,0,0
1632493646084016,3109248,380094,3109248,0,0,0,0,0,0
