UNIX time mavlink, time since system boot mavlink, lat, lon, alt, relative_alt, vx, vy, vz, hdg
1632491162583479,625747,380093,625747,0,0,0,0,0,0
1632491167583028,630747,380093,630747,0,0,0,0,0,0
1632491170581451,633745,380093,633745,0,0,0,0,0,0
1632491174583219,637747,380093,637747,0,0,0,0,0,0
1632491177581241,640745,380093,640745,0,0,0,0,0,0
1632491181081273,644245,380093,644245,0,0,0,0,0,0
1632491184092724,647256,380093,647256,0,0,0,0,0,0
1632491187082674,650246,380093,650246,0,0,0,0,0,0
1632491190082747,653246,380093,653246,0,0,0,0,0,0
1632491193081049,656245,380093,656245,0,0,0,0,0,0
1632491196082289,659246,380093,659246,0,0,0,0,0,0
1632491199085589,662249,380093,662249,0,0,0,0,0,0
1632491202082883,665246,380093,665246,0,0,0,0,0,0
1632491205087726,668251,380093,668251,0,0,0,0,0,0
1632491208084143,671248,380093,671248,0,0,0,0,0,0
1632491211086264,674250,380093,674250,0,0,0,0,0,0
1632491214091708,677255,380093,677255,0,0,0,0,0,0
1632491217083804,680247,380093,680247,0,0,0,0,0,0
1632491220080022,683244,380093,683244,0,0,0,0,0,0
1632491223086875,686250,380093,686250,0,0,0,0,0,0
1632491226081275,689245,380093,689245,0,0,0,0,0,0
1632491229086783,692250,380093,692250,0,0,0,0,0,0
