UNIX time mavlink, time since system boot mavlink, lat, lon, alt, relative_alt, vx, vy, vz, hdg
1632495265584992,4728749,380094,4728749,0,0,0,0,0,0
1632495271583028,4734747,380094,4734747,0,0,0,0,0,0
1632495274581034,4737745,380094,4737745,0,0,0,0,0,0
1632495277581426,4740745,380094,4740745,0,0,0,0,0,0
1632495281083974,4744248,380094,4744248,0,0,0,0,0,0
1632495285080948,4748244,380094,4748244,0,0,0,0,0,0
1632495288586482,4751750,380094,4751750,0,0,0,0,0,0
1632495291582290,4754746,380094,4754746,0,0,0,0,0,0
1632495295083157,4758247,380094,4758247,0,0,0,0,0,0
1632495298583898,4761747,380094,4761747,0,0,0,0,0,0
1632495302582949,4765746,380094,4765746,0,0,0,0,0,0
1632495305586260,4768750,380094,4768750,0,0,0,0,0,0
1632495309080294,4772244,380094,4772244,0,0,0,0,0,0
1632495312080168,4775244,380094,4775244,0,0,0,0,0,0
1632495315083691,4778247,380094,4778247,0,0,0,0,0,0
1632495318582037,4781746,380094,4781746,0,0,0,0,0,0
1632495321585282,4784749,380094,4784749,0,0,0,0,0,0
1632495324579880,4787743,380094,4787743,0,0,0,0,0,0
1632495327580136,4790744,380094,4790744,0,0,0,0,0,0
1632495330584959,4793748,380094,4793748,0,0,0,0,0,0
1632495333582225,4796746,380094,4796746,0,0,0,0,0,0
1632495336581893,4799745,380094,4799745,0,0,0,0,0,0
1632495339580268,4802744,380094,4802744,0,0,0,0,0,0
1632495343086716,4806250,380094,4806250,0,0,0,0,0,0
1632495346582010,4809746,380094,4809746,0,0,0,0,0,0
1632495350084868,4813248,380094,4813248,0,0,0,0,0,0
1632495353585791,4816749,380094,4816749,0,0,0,0,0,0
1632495357587001,4820751,380094,4820751,0,0,0,0,0,0
1632495360586265,4823750,380094,4823750,0,0,0,0,0,0
1632495364580901,4827744,380094,4827744,0,0,0,0,0,0
1632495368080026,4831244,380094,4831244,0,0,0,0,0,0
1632495371083809,4834247,380094,4834247,0,0,0,0,0,0
