UNIX time mavlink, time since system boot mavlink, lat, lon, alt, relative_alt, vx, vy, vz, hdg
1632493985081993,3448246,380094,3448246,0,0,0,0,0,0
1632493989584035,3452748,380094,3452748,0,0,0,0,0,0
1632493992584444,3455748,380094,3455748,0,0,0,0,0,0
1632493996087924,3459251,380094,3459251,0,0,0,0,0,0
1632493999081130,3462245,380094,3462245,0,0,0,0,0,0
1632494002083627,3465247,380094,3465247,0,0,0,0,0,0
1632494005079462,3468243,380094,3468243,0,0,0,0,0,0
1632494008086473,3471250,380094,3471250,0,0,0,0,0,0
1632494011079603,3474243,380094,3474243,0,0,0,0,0,0
1632494014085510,3477249,380094,3477249,0,0,0,0,0,0
1632494018083977,3481248,380094,3481248,0,0,0,0,0,0
1632494021084194,3484248,380094,3484248,0,0,0,0,0,0
1632494024084901,3487248,380094,3487248,0,0,0,0,0,0
1632494027082976,3490247,380094,3490247,0,0,0,0,0,0
1632494030086014,3493250,380094,3493250,0,0,0,0,0,0
1632494033584053,3496748,380094,3496748,0,0,0,0,0,0
1632494036579244,3499743,380094,3499743,0,0,0,0,0,0
1632494039584903,3502748,380094,3502748,0,0,0,0,0,0
1632494043083911,3506247,380094,3506247,0,0,0,0,0,0
1632494046579792,3509743,380094,3509743,0,0,0,0,0,0
1632494049585136,3512749,380094,3512749,0,0,0,0,0,0
