time_elapsed,pm25 [ug]/m3,pm10 [ug]/m3,WE_NO2  [mV] ,AE_NO2  [mV] ,WE_CO  [mV] ,AE_CO [mV],data,ora
1.0013580322265625e-05,26.8,30.6,302.34375,313.1875,502.625,243.875,23/09/2021,12:30:04
4.477127313613892,26.4,32.0,303.5625,312.90625,505.90625,254.9375,23/09/2021,12:30:09
7.58073091506958,26.0,31.5,303.90625,315.53125,506.9375,258.0,23/09/2021,12:30:12
10.737832307815552,25.6,30.9,303.5,316.59375,504.28125,256.25,23/09/2021,12:30:15
14.077507019042969,25.2,31.3,304.03125,315.71875,503.34375,252.03125,23/09/2021,12:30:18
17.146045446395874,24.8,31.0,303.65625,316.65625,498.28125,248.59375,23/09/2021,12:30:21
20.159999132156372,24.5,31.3,304.5,308.6875,499.5625,251.0625,23/09/2021,12:30:24
23.20484447479248,24.4,31.6,304.3125,312.46875,492.625,250.1875,23/09/2021,12:30:28
26.59404993057251,24.0,31.3,303.3125,314.46875,495.6875,254.40625,23/09/2021,12:30:31
29.57363486289978,23.6,30.7,303.53125,310.875,476.5,231.21875,23/09/2021,12:30:34
33.133872509002686,23.4,30.6,303.875,310.9375,489.15625,250.375,23/09/2021,12:30:37
36.10851788520813,23.1,31.6,299.71875,310.875,485.375,248.28125,23/09/2021,12:30:40
39.11234259605408,22.9,31.7,303.875,312.125,482.125,192.9375,23/09/2021,12:30:43
42.088295698165894,22.9,31.3,302.875,316.21875,483.0,249.3125,23/09/2021,12:30:46
45.03972291946411,22.9,32.0,301.28125,310.34375,482.40625,247.25,23/09/2021,12:30:49
48.02756214141846,22.6,31.5,301.1875,314.75,474.09375,240.65625,23/09/2021,12:30:52
51.06000304222107,22.6,31.9,307.28125,310.125,479.78125,249.34375,23/09/2021,12:30:55
54.01883363723755,22.5,31.8,301.4375,308.09375,475.3125,250.78125,23/09/2021,12:30:58
57.03380727767944,22.4,31.7,303.21875,313.96875,475.78125,246.65625,23/09/2021,12:31:01
60.022780418395996,22.3,31.3,303.65625,314.84375,451.1875,203.375,23/09/2021,12:31:04
63.055922985076904,22.3,30.2,302.5,312.375,467.1875,246.375,23/09/2021,12:31:07
