UNIX time mavlink, time since system boot mavlink, lat, lon, alt, relative_alt, vx, vy, vz, hdg
1632495927587998,5390752,380095,5390752,0,0,0,0,0,0
1632495935080274,5398244,380095,5398244,0,0,0,0,0,0
1632495940085508,5403249,380095,5403249,0,0,0,0,0,0
1632495943085506,5406249,380095,5406249,0,0,0,0,0,0
1632495946582837,5409746,380095,5409746,0,0,0,0,0,0
1632495949590748,5412754,380095,5412754,0,0,0,0,0,0
1632495952585058,5415749,380095,5415749,0,0,0,0,0,0
1632495955579277,5418743,380095,5418743,0,0,0,0,0,0
1632495958581227,5421745,380095,5421745,0,0,0,0,0,0
1632495961582230,5424746,380095,5424746,0,0,0,0,0,0
1632495964583005,5427747,380095,5427747,0,0,0,0,0,0
1632495967582708,5430746,380095,5430746,0,0,0,0,0,0
1632495971083903,5434247,380095,5434247,0,0,0,0,0,0
1632495974080485,5437244,380095,5437244,0,0,0,0,0,0
1632495977080996,5440245,380095,5440245,0,0,0,0,0,0
1632495980083793,5443247,380095,5443247,0,0,0,0,0,0
1632495983081971,5446246,380095,5446246,0,0,0,0,0,0
1632495986084681,5449248,380095,5449248,0,0,0,0,0,0
1632495989086234,5452250,380095,5452250,0,0,0,0,0,0
1632495992085936,5455249,380095,5455249,0,0,0,0,0,0
1632495995085842,5458249,380095,5458249,0,0,0,0,0,0
1632495998086886,5461250,380095,5461250,0,0,0,0,0,0
1632496001084029,5464248,380095,5464248,0,0,0,0,0,0
1632496004086278,5467250,380095,5467250,0,0,0,0,0,0
1632496007082252,5470246,380095,5470246,0,0,0,0,0,0
1632496010583898,5473747,380095,5473747,0,0,0,0,0,0
1632496013585004,5476749,380095,5476749,0,0,0,0,0,0
1632496016583301,5479747,380095,5479747,0,0,0,0,0,0
1632496019588936,5482752,380095,5482752,0,0,0,0,0,0
1632496022586803,5485750,380095,5485750,0,0,0,0,0,0
1632496025583777,5488747,380095,5488747,0,0,0,0,0,0
1632496028582994,5491747,380095,5491747,0,0,0,0,0,0
1632496031584283,5494748,380095,5494748,0,0,0,0,0,0
1632496034582293,5497746,380095,5497746,0,0,0,0,0,0
1632496037582230,5500746,380095,5500746,0,0,0,0,0,0
1632496040585264,5503749,380095,5503749,0,0,0,0,0,0
1632496043586031,5506750,380095,5506750,0,0,0,0,0,0
1632496046589008,5509753,380095,5509753,0,0,0,0,0,0
1632496049584050,5512748,380095,5512748,0,0,0,0,0,0
1632496052584671,5515748,380095,5515748,0,0,0,0,0,0
1632496056083913,5519247,380095,5519247,0,0,0,0,0,0
1632496059082360,5522246,380095,5522246,0,0,0,0,0,0
1632496062084824,5525248,380095,5525248,0,0,0,0,0,0
1632496065582011,5528746,380095,5528746,0,0,0,0,0,0
1632496068582469,5531746,380095,5531746,0,0,0,0,0,0
1632496071584954,5534748,380095,5534748,0,0,0,0,0,0
1632496074580460,5537744,380095,5537744,0,0,0,0,0,0
1632496077587279,5540751,380095,5540751,0,0,0,0,0,0
1632496081591293,5544755,380095,5544755,0,0,0,0,0,0
1632496085079268,5548243,380095,5548243,0,0,0,0,0,0
1632496088582007,5551746,380095,5551746,0,0,0,0,0,0
1632496092085727,5555249,380095,5555249,0,0,0,0,0,0
1632496095582786,5558746,380095,5558746,0,0,0,0,0,0
1632496099083960,5562247,380095,5562247,0,0,0,0,0,0
1632496102586010,5565750,380095,5565750,0,0,0,0,0,0
1632496105587697,5568751,380095,5568751,0,0,0,0,0,0
1632496109083302,5572247,380095,5572247,0,0,0,0,0,0
1632496112585948,5575749,380095,5575749,0,0,0,0,0,0
1632496116084014,5579248,380095,5579248,0,0,0,0,0,0
1632496119081965,5582246,380095,5582246,0,0,0,0,0,0
1632496122082802,5585246,380095,5585246,0,0,0,0,0,0
1632496125590480,5588754,380095,5588754,0,0,0,0,0,0
1632496129085888,5592249,380095,5592249,0,0,0,0,0,0
1632496132085922,5595249,380095,5595249,0,0,0,0,0,0
1632496135581484,5598745,380095,5598745,0,0,0,0,0,0
1632496139082806,5602246,380095,5602246,0,0,0,0,0,0
1632496142581033,5605745,380095,5605745,0,0,0,0,0,0
1632496145582704,5608746,380095,5608746,0,0,0,0,0,0
1632496149083896,5612247,380095,5612247,0,0,0,0,0,0
1632496152588246,5615752,380095,5615752,0,0,0,0,0,0
1632496156084943,5619248,380095,5619248,0,0,0,0,0,0
1632496159584051,5622748,380095,5622748,0,0,0,0,0,0
1632496163085494,5626249,380095,5626249,0,0,0,0,0,0
1632496166084886,5629248,380095,5629248,0,0,0,0,0,0
1632496169082030,5632246,380095,5632246,0,0,0,0,0,0
1632496172588150,5635752,380095,5635752,0,0,0,0,0,0
1632496176079242,5639243,380095,5639243,0,0,0,0,0,0
1632496179084501,5642248,380095,5642248,0,0,0,0,0,0
1632496182088029,5645252,380095,5645252,0,0,0,0,0,0
1632496185585285,5648749,380095,5648749,0,0,0,0,0,0
1632496188580288,5651744,380095,5651744,0,0,0,0,0,0
1632496191582943,5654746,380095,5654746,0,0,0,0,0,0
1632496195082484,5658246,380095,5658246,0,0,0,0,0,0
1632496198579949,5661743,380095,5661743,0,0,0,0,0,0
1632496202082457,5665246,380095,5665246,0,0,0,0,0,0
1632496205579472,5668743,380095,5668743,0,0,0,0,0,0
1632496209085990,5672250,380095,5672250,0,0,0,0,0,0
1632496212083795,5675247,380095,5675247,0,0,0,0,0,0
1632496215584240,5678748,380095,5678748,0,0,0,0,0,0
1632496218584245,5681748,380095,5681748,0,0,0,0,0,0
1632496222081291,5685245,380095,5685245,0,0,0,0,0,0
1632496225581253,5688745,380095,5688745,0,0,0,0,0,0
1632496229083738,5692247,380095,5692247,0,0,0,0,0,0
1632496232586807,5695750,380095,5695750,0,0,0,0,0,0
1632496236085256,5699249,380095,5699249,0,0,0,0,0,0
1632496239587990,5702752,380095,5702752,0,0,0,0,0,0
1632496242585925,5705749,380095,5705749,0,0,0,0,0,0
1632496246082983,5709247,380095,5709247,0,0,0,0,0,0
1632496249082873,5712246,380095,5712246,0,0,0,0,0,0
1632496252583813,5715747,380095,5715747,0,0,0,0,0,0
1632496256083741,5719247,380095,5719247,0,0,0,0,0,0
1632496259587301,5722751,380095,5722751,0,0,0,0,0,0
1632496263080764,5726244,380095,5726244,0,0,0,0,0,0
1632496266579923,5729743,380095,5729743,0,0,0,0,0,0
1632496269587464,5732751,380095,5732751,0,0,0,0,0,0
1632496272587886,5735751,380095,5735751,0,0,0,0,0,0
1632496275586009,5738750,380095,5738750,0,0,0,0,0,0
1632496279082916,5742246,380095,5742246,0,0,0,0,0,0
1632496282080952,5745244,380095,5745244,0,0,0,0,0,0
1632496285583137,5748747,380095,5748747,0,0,0,0,0,0
1632496289083871,5752247,380095,5752247,0,0,0,0,0,0
1632496292586170,5755750,380095,5755750,0,0,0,0,0,0
1632496295590734,5758754,380095,5758754,0,0,0,0,0,0
1632496298593247,5761757,380095,5761757,0,0,0,0,0,0
1632496301599453,5764763,380095,5764763,0,0,0,0,0,0
1632496305082032,5768246,380095,5768246,0,0,0,0,0,0
1632496308083873,5771247,380095,5771247,0,0,0,0,0,0
1632496311584594,5774748,380095,5774748,0,0,0,0,0,0
1632496315085845,5778249,380095,5778249,0,0,0,0,0,0
1632496319082698,5782246,380095,5782246,0,0,0,0,0,0
1632496322579959,5785743,380095,5785743,0,0,0,0,0,0
1632496325583774,5788747,380095,5788747,0,0,0,0,0,0
1632496329079788,5792243,380095,5792243,0,0,0,0,0,0
1632496332583133,5795747,380095,5795747,0,0,0,0,0,0
1632496336083292,5799247,380095,5799247,0,0,0,0,0,0
1632496339083851,5802247,380095,5802247,0,0,0,0,0,0
1632496342585894,5805749,380095,5805749,0,0,0,0,0,0
1632496345579232,5808743,380095,5808743,0,0,0,0,0,0
1632496349082845,5812246,380095,5812246,0,0,0,0,0,0
1632496352585294,5815749,380095,5815749,0,0,0,0,0,0
1632496356085679,5819249,380095,5819249,0,0,0,0,0,0
1632496359085032,5822249,380095,5822249,0,0,0,0,0,0
1632496362082041,5825246,380095,5825246,0,0,0,0,0,0
1632496365082045,5828246,380095,5828246,0,0,0,0,0,0
1632496368583478,5831747,380095,5831747,0,0,0,0,0,0
1632496371580054,5834744,380095,5834744,0,0,0,0,0,0
1632496374581473,5837745,380095,5837745,0,0,0,0,0,0
1632496378079520,5841243,380095,5841243,0,0,0,0,0,0
1632496381591991,5844756,380095,5844756,0,0,0,0,0,0
1632496385080676,5848244,380095,5848244,0,0,0,0,0,0
1632496388587159,5851751,380095,5851751,0,0,0,0,0,0
1632496392082693,5855246,380095,5855246,0,0,0,0,0,0
1632496395587776,5858751,380095,5858751,0,0,0,0,0,0
1632496399084852,5862248,380095,5862248,0,0,0,0,0,0
1632496402081494,5865245,380095,5865245,0,0,0,0,0,0
1632496405582970,5868747,380095,5868747,0,0,0,0,0,0
1632496409084059,5872248,380095,5872248,0,0,0,0,0,0
1632496412084449,5875248,380095,5875248,0,0,0,0,0,0
1632496415579262,5878743,380095,5878743,0,0,0,0,0,0
1632496418589795,5881753,380095,5881753,0,0,0,0,0,0
1632496421587018,5884751,380095,5884751,0,0,0,0,0,0
1632496425579227,5888743,380095,5888743,0,0,0,0,0,0
1632496429085041,5892249,380095,5892249,0,0,0,0,0,0
1632496432080735,5895244,380095,5895244,0,0,0,0,0,0
1632496435588744,5898752,380095,5898752,0,0,0,0,0,0
1632496439080747,5902244,380095,5902244,0,0,0,0,0,0
1632496442588010,5905752,380095,5905752,0,0,0,0,0,0
1632496446084239,5909248,380095,5909248,0,0,0,0,0,0
1632496449082132,5912246,380095,5912246,0,0,0,0,0,0
1632496452588728,5915752,380095,5915752,0,0,0,0,0,0
1632496456084049,5919248,380095,5919248,0,0,0,0,0,0
1632496459583847,5922747,380095,5922747,0,0,0,0,0,0
1632496462585701,5925749,380095,5925749,0,0,0,0,0,0
1632496465585771,5928749,380095,5928749,0,0,0,0,0,0
1632496468588299,5931752,380095,5931752,0,0,0,0,0,0
1632496472082796,5935246,380095,5935246,0,0,0,0,0,0
1632496475585734,5938749,380095,5938749,0,0,0,0,0,0
1632496479082471,5942246,380095,5942246,0,0,0,0,0,0
1632496482586858,5945750,380095,5945750,0,0,0,0,0,0
1632496486081986,5949246,380095,5949246,0,0,0,0,0,0
1632496489080981,5952245,380095,5952245,0,0,0,0,0,0
1632496492086715,5955250,380095,5955250,0,0,0,0,0,0
1632496495588028,5958752,380095,5958752,0,0,0,0,0,0
1632496499083227,5962247,380095,5962247,0,0,0,0,0,0
1632496502584970,5965749,380095,5965749,0,0,0,0,0,0
1632496506079591,5969243,380095,5969243,0,0,0,0,0,0
1632496509083720,5972247,380095,5972247,0,0,0,0,0,0
1632496512082300,5975246,380095,5975246,0,0,0,0,0,0
1632496516082288,5979246,380095,5979246,0,0,0,0,0,0
1632496519580923,5982744,380095,5982744,0,0,0,0,0,0
1632496523083018,5986247,380095,5986247,0,0,0,0,0,0
1632496526579848,5989743,380095,5989743,0,0,0,0,0,0
1632496530083917,5993247,380095,5993247,0,0,0,0,0,0
1632496533594037,5996758,380095,5996758,0,0,0,0,0,0
1632496536587336,5999751,380095,5999751,0,0,0,0,0,0
1632496540083888,6003247,380095,6003247,0,0,0,0,0,0
1632496543083911,6006247,380095,6006247,0,0,0,0,0,0
1632496546585916,6009749,380095,6009749,0,0,0,0,0,0
1632496550085022,6013249,380095,6013249,0,0,0,0,0,0
1632496553085942,6016249,380095,6016249,0,0,0,0,0,0
1632496556584218,6019748,380095,6019748,0,0,0,0,0,0
1632496560087302,6023251,380095,6023251,0,0,0,0,0,0
1632496563585444,6026749,380095,6026749,0,0,0,0,0,0
1632496567081732,6030245,380095,6030245,0,0,0,0,0,0
1632496570599046,6033763,380095,6033763,0,0,0,0,0,0
1632496574084464,6037248,380095,6037248,0,0,0,0,0,0
1632496577579992,6040744,380095,6040744,0,0,0,0,0,0
1632496581581944,6044745,380095,6044745,0,0,0,0,0,0
1632496585589736,6048753,380095,6048753,0,0,0,0,0,0
1632496589081261,6052245,380095,6052245,0,0,0,0,0,0
1632496592083519,6055247,380095,6055247,0,0,0,0,0,0
1632496595591251,6058755,380095,6058755,0,0,0,0,0,0
1632496599085295,6062249,380095,6062249,0,0,0,0,0,0
1632496602583208,6065747,380095,6065747,0,0,0,0,0,0
1632496606081026,6069245,380095,6069245,0,0,0,0,0,0
1632496609083457,6072247,380095,6072247,0,0,0,0,0,0
1632496612595994,6075760,380095,6075760,0,0,0,0,0,0
1632496616082059,6079246,380095,6079246,0,0,0,0,0,0
1632496619082050,6082246,380095,6082246,0,0,0,0,0,0
1632496622590022,6085754,380095,6085754,0,0,0,0,0,0
1632496626082276,6089246,380095,6089246,0,0,0,0,0,0
1632496629587325,6092751,380095,6092751,0,0,0,0,0,0
1632496633086518,6096250,380095,6096250,0,0,0,0,0,0
1632496636591716,6099755,380095,6099755,0,0,0,0,0,0
1632496640081964,6103245,380095,6103245,0,0,0,0,0,0
1632496643085902,6106249,380095,6106249,0,0,0,0,0,0
1632496646588134,6109752,380095,6109752,0,0,0,0,0,0
1632496650081936,6113245,380095,6113245,0,0,0,0,0,0
1632496653582477,6116746,380095,6116746,0,0,0,0,0,0
1632496657082511,6120246,380095,6120246,0,0,0,0,0,0
1632496660585042,6123749,380095,6123749,0,0,0,0,0,0
1632496664083900,6127247,380095,6127247,0,0,0,0,0,0
1632496667590239,6130754,380095,6130754,0,0,0,0,0,0
1632496671079994,6134244,380095,6134244,0,0,0,0,0,0
1632496674581055,6137745,380095,6137745,0,0,0,0,0,0
1632496678082627,6141246,380095,6141246,0,0,0,0,0,0
1632496681590275,6144754,380095,6144754,0,0,0,0,0,0
1632496685079293,6148243,380095,6148243,0,0,0,0,0,0
1632496688083011,6151247,380095,6151247,0,0,0,0,0,0
1632496691589300,6154753,380095,6154753,0,0,0,0,0,0
1632496695083838,6158247,380095,6158247,0,0,0,0,0,0
1632496698592138,6161756,380095,6161756,0,0,0,0,0,0
1632496702083981,6165248,380095,6165248,0,0,0,0,0,0
1632496705581262,6168745,380095,6168745,0,0,0,0,0,0
1632496708589149,6171753,380095,6171753,0,0,0,0,0,0
1632496712084305,6175248,380095,6175248,0,0,0,0,0,0
1632496715579367,6178743,380095,6178743,0,0,0,0,0,0
1632496719081511,6182245,380095,6182245,0,0,0,0,0,0
1632496722579948,6185743,380095,6185743,0,0,0,0,0,0
1632496726079961,6189243,380095,6189243,0,0,0,0,0,0
1632496729082983,6192247,380095,6192247,0,0,0,0,0,0
1632496732588303,6195752,380095,6195752,0,0,0,0,0,0
1632496736592257,6199756,380095,6199756,0,0,0,0,0,0
1632496740084031,6203248,380095,6203248,0,0,0,0,0,0
1632496743579276,6206743,380095,6206743,0,0,0,0,0,0
1632496747081885,6210245,380095,6210245,0,0,0,0,0,0
1632496750582264,6213746,380095,6213746,0,0,0,0,0,0
1632496754083451,6217247,380095,6217247,0,0,0,0,0,0
1632496757083719,6220247,380095,6220247,0,0,0,0,0,0
1632496760583933,6223747,380095,6223747,0,0,0,0,0,0
1632496764083045,6227247,380095,6227247,0,0,0,0,0,0
1632496767585922,6230749,380095,6230749,0,0,0,0,0,0
1632496771079888,6234243,380095,6234243,0,0,0,0,0,0
1632496774079262,6237243,380095,6237243,0,0,0,0,0,0
1632496777582992,6240747,380095,6240747,0,0,0,0,0,0
1632496781082734,6244246,380095,6244246,0,0,0,0,0,0
1632496784589146,6247753,380095,6247753,0,0,0,0,0,0
1632496788081930,6251245,380095,6251245,0,0,0,0,0,0
1632496791580966,6254745,380095,6254745,0,0,0,0,0,0
1632496795085757,6258249,380095,6258249,0,0,0,0,0,0
1632496798581358,6261745,380095,6261745,0,0,0,0,0,0
1632496801584899,6264748,380095,6264748,0,0,0,0,0,0
1632496805082272,6268246,380095,6268246,0,0,0,0,0,0
1632496808592021,6271756,380095,6271756,0,0,0,0,0,0
1632496812084001,6275248,380095,6275248,0,0,0,0,0,0
1632496815584513,6278748,380095,6278748,0,0,0,0,0,0
1632496819587011,6282751,380095,6282751,0,0,0,0,0,0
1632496823082028,6286246,380095,6286246,0,0,0,0,0,0
1632496826582833,6289746,380095,6289746,0,0,0,0,0,0
1632496830084025,6293248,380095,6293248,0,0,0,0,0,0
1632496833079049,6296243,380095,6296243,0,0,0,0,0,0
1632496836584893,6299748,380095,6299748,0,0,0,0,0,0
1632496840083966,6303248,380095,6303248,0,0,0,0,0,0
1632496843585029,6306749,380095,6306749,0,0,0,0,0,0
1632496846582941,6309746,380095,6309746,0,0,0,0,0,0
1632496850083785,6313247,380095,6313247,0,0,0,0,0,0
