time_elapsed,pm25 [ug]/m3,pm10 [ug]/m3,NO2  [ug/m3] ,CO  [ug/m3] ,/,/,data,ora
1.71661376953125e-05,19.6,25.0,21.424885321100916,316.2806919642857,0.0,0.0,24/09/2021,17:05:26
7.140554428100586,19.5,24.9,-29.644495412844034,116.99900793650794,0.0,0.0,24/09/2021,17:05:34
12.14250373840332,19.6,23.9,-57.429472477064216,334.5972842261904,0.0,0.0,24/09/2021,17:05:39
15.509153366088867,19.4,22.2,1.7786697247706407,337.4370659722222,0.0,0.0,24/09/2021,17:05:42
18.59976553916931,19.2,23.0,-77.8841743119266,360.2973090277778,0.0,0.0,24/09/2021,17:05:45
22.08148455619812,19.2,23.1,7.788417431192661,259.20107886904765,0.0,0.0,24/09/2021,17:05:48
24.977434396743774,19.1,23.1,2.0481651376146774,346.02740575396825,0.0,0.0,24/09/2021,17:05:51
27.959572076797485,19.0,22.8,-5.794151376146789,272.83203125,0.0,0.0,24/09/2021,17:05:54
30.94618797302246,19.0,22.6,-25.979357798165136,45.649491567460316,0.0,0.0,24/09/2021,17:05:57
34.02000141143799,18.9,22.3,-0.24254587155963456,135.81256200396825,0.0,0.0,24/09/2021,17:06:00
37.059295415878296,18.9,22.3,-29.563646788990823,124.45343501984128,0.0,0.0,24/09/2021,17:06:03
40.00707793235779,19.1,23.2,-53.225344036697244,-214.82948908730157,0.0,0.0,24/09/2021,17:06:06
43.093374252319336,19.1,23.3,60.232224770642205,359.8003472222222,0.0,0.0,24/09/2021,17:06:10
46.46365261077881,19.2,23.4,-26.787844036697248,291.64558531746036,0.0,0.0,24/09/2021,17:06:13
49.50682330131531,19.4,25.4,-87.72075688073394,358.30946180555554,0.0,0.0,24/09/2021,17:06:16
52.5412278175354,19.3,24.8,42.095183486238525,382.3766121031746,0.0,0.0,24/09/2021,17:06:19
55.50493049621582,19.2,25.0,-3.988532110091746,357.2445436507937,0.0,0.0,24/09/2021,17:06:22
58.52880525588989,19.2,25.8,-2.506307339449544,-45.01054067460318,0.0,0.0,24/09/2021,17:06:25
61.515878438949585,19.2,25.8,10.779816513761467,344.4655257936508,0.0,0.0,24/09/2021,17:06:28
64.50051259994507,19.0,25.6,21.209288990825684,212.06070188492063,0.0,0.0,24/09/2021,17:06:31
67.51770067214966,19.0,25.6,19.915711009174313,358.3804563492064,0.0,0.0,24/09/2021,17:06:34
70.51196908950806,19.0,25.8,-2.6680045871559646,408.28962053571433,0.0,0.0,24/09/2021,17:06:37
73.51630115509033,18.9,25.8,-37.16341743119266,378.8978794642857,0.0,0.0,24/09/2021,17:06:40
76.50868153572083,18.7,25.4,48.69782110091743,307.54836309523813,0.0,0.0,24/09/2021,17:06:43
79.53637623786926,18.7,25.4,-47.7815366972477,386.06832837301585,0.0,0.0,24/09/2021,17:06:46
82.59202671051025,18.7,25.4,-45.086582568807344,345.3884548611111,0.0,0.0,24/09/2021,17:06:49
85.94616460800171,18.6,24.5,13.58256880733945,403.81696428571433,0.0,0.0,24/09/2021,17:06:52
88.9678111076355,18.5,24.3,34.73795871559633,354.5467509920635,0.0,0.0,24/09/2021,17:06:55
92.04087615013123,18.5,24.4,38.83428899082568,373.07632688492066,0.0,0.0,24/09/2021,17:06:58
95.03267860412598,18.4,23.1,22.85321100917431,401.1191716269841,0.0,0.0,24/09/2021,17:07:01
98.00002098083496,18.4,22.8,40.77465596330275,419.71974206349205,0.0,0.0,24/09/2021,17:07:04
100.99423742294312,18.4,22.7,36.46272935779816,286.1080109126984,0.0,0.0,24/09/2021,17:07:07
103.9918704032898,18.2,22.7,-66.48451834862384,420.3586929563492,0.0,0.0,24/09/2021,17:07:10
107.03303742408752,18.1,22.5,16.358371559633024,379.6078249007937,0.0,0.0,24/09/2021,17:07:13
110.01445770263672,18.1,21.5,21.963876146788987,294.6273561507937,0.0,0.0,24/09/2021,17:07:16
