time_elapsed,pm25 [ug]/m3,pm10 [ug]/m3,WE_NO2  [mV] ,AE_NO2  [mV] ,WE_CO  [mV] ,AE_CO [mV],data,ora
1.71661376953125e-05,19.6,25.0,296.84375,302.03125,327.03125,267.71875,24/09/2021,17:05:26
7.140554428100586,19.5,24.9,298.34375,305.9375,318.9375,243.875,24/09/2021,17:05:34
12.14250373840332,19.6,23.9,296.84375,306.84375,326.28125,270.90625,24/09/2021,17:05:39
15.509153366088867,19.4,22.2,297.59375,303.625,328.6875,269.71875,24/09/2021,17:05:42
18.59976553916931,19.2,23.0,295.71875,307.5,329.3125,272.65625,24/09/2021,17:05:45
22.08148455619812,19.2,23.1,296.6875,302.78125,323.5625,261.65625,24/09/2021,17:05:48
24.977434396743774,19.1,23.1,297.625,303.625,330.71875,269.625,24/09/2021,17:05:51
27.959572076797485,19.0,22.8,296.65625,303.59375,324.21875,263.21875,24/09/2021,17:05:54
30.94618797302246,19.0,22.6,296.75,304.875,310.6875,238.90625,24/09/2021,17:05:57
34.02000141143799,18.9,22.3,295.875,302.84375,315.0625,249.21875,24/09/2021,17:06:00
37.059295415878296,18.9,22.3,296.15625,304.78125,319.40625,244.65625,24/09/2021,17:06:03
40.00707793235779,19.1,23.2,297.09375,306.71875,311.4375,200.1875,24/09/2021,17:06:06
43.093374252319336,19.1,23.3,296.59375,299.53125,331.875,270.875,24/09/2021,17:06:10
46.46365261077881,19.2,23.4,296.0625,304.5625,330.1875,262.0,24/09/2021,17:06:13
49.50682330131531,19.4,25.4,296.65625,308.59375,330.09375,271.84375,24/09/2021,17:06:16
52.5412278175354,19.3,24.8,296.6875,300.6875,330.09375,275.375,24/09/2021,17:06:19
55.50493049621582,19.2,25.0,296.6875,303.5,330.375,271.5,24/09/2021,17:06:22
58.52880525588989,19.2,25.8,295.96875,303.03125,313.75,223.5625,24/09/2021,17:06:25
61.515878438949585,19.2,25.8,295.3125,301.875,330.0,269.875,24/09/2021,17:06:28
64.50051259994507,19.0,25.6,296.34375,301.78125,323.125,255.03125,24/09/2021,17:06:31
67.51770067214966,19.0,25.6,297.5,302.46875,327.8125,273.375,24/09/2021,17:06:34
70.51196908950806,19.0,25.8,294.40625,302.21875,331.90625,277.96875,24/09/2021,17:06:37
73.51630115509033,18.9,25.8,296.9375,305.65625,329.9375,274.96875,24/09/2021,17:06:40
76.50868153572083,18.7,25.4,295.375,299.59375,326.0,267.125,24/09/2021,17:06:43
79.53637623786926,18.7,25.4,295.46875,305.53125,331.84375,274.75,24/09/2021,17:06:46
82.59202671051025,18.7,25.4,298.15625,306.78125,328.1875,271.21875,24/09/2021,17:06:49
85.94616460800171,18.6,24.5,296.46875,302.3125,335.75,274.75,24/09/2021,17:06:52
88.9678111076355,18.5,24.3,297.4375,301.53125,328.9375,272.0625,24/09/2021,17:06:55
92.04087615013123,18.5,24.4,296.25,300.65625,330.0625,274.03125,24/09/2021,17:06:58
95.03267860412598,18.4,23.1,298.96875,303.0625,331.21875,277.375,24/09/2021,17:07:01
98.00002098083496,18.4,22.8,298.96875,301.96875,335.21875,277.4375,24/09/2021,17:07:04
100.99423742294312,18.4,22.7,298.46875,301.96875,323.4375,265.6875,24/09/2021,17:07:07
103.9918704032898,18.2,22.7,293.65625,305.71875,333.25,278.84375,24/09/2021,17:07:10
107.03303742408752,18.1,22.5,299.9375,303.96875,330.375,274.78125,24/09/2021,17:07:13
110.01445770263672,18.1,21.5,297.5,302.34375,324.1875,266.4375,24/09/2021,17:07:16
113.02095246315002,18.1,21.2,297.0625,301.90625,313.125,242.9375,24/09/2021,17:07:19
116.04465436935425,18.2,21.4,294.3125,301.625,330.0,277.71875,24/09/2021,17:07:22
119.01245737075806,18.2,21.2,293.3125,302.53125,326.375,271.6875,24/09/2021,17:07:25
122.03989791870117,18.4,21.6,296.75,301.96875,327.5625,273.4375,24/09/2021,17:07:28
125.04605889320374,18.4,21.7,295.625,303.09375,327.90625,275.53125,24/09/2021,17:07:31
128.10491013526917,18.4,22.2,294.84375,305.40625,319.21875,263.75,24/09/2021,17:07:35
131.50206995010376,18.4,21.7,298.9375,302.375,323.75,270.84375,24/09/2021,17:07:38
134.55853652954102,18.5,21.7,295.8125,301.21875,325.1875,268.5625,24/09/2021,17:07:41
137.60811185836792,18.5,21.2,298.25,304.5,324.625,271.25,24/09/2021,17:07:44
141.01595902442932,18.1,20.3,298.03125,303.28125,325.46875,273.8125,24/09/2021,17:07:47
144.04336309432983,18.1,20.3,299.53125,302.0,320.25,263.4375,24/09/2021,17:07:50
147.06955862045288,18.2,21.2,297.9375,306.59375,326.375,273.125,24/09/2021,17:07:53
150.04208898544312,18.2,20.5,297.71875,306.90625,321.9375,265.78125,24/09/2021,17:07:56
153.07115006446838,18.0,20.4,296.1875,302.78125,325.6875,272.4375,24/09/2021,17:08:00
157.16595101356506,18.1,21.5,296.59375,302.03125,324.46875,271.78125,24/09/2021,17:08:04
160.58359670639038,18.1,23.0,296.71875,307.09375,322.3125,266.5,24/09/2021,17:08:07
164.10823464393616,17.8,22.6,297.15625,308.625,317.71875,260.84375,24/09/2021,17:08:11
167.64525818824768,17.7,22.2,297.03125,306.46875,321.53125,269.53125,24/09/2021,17:08:14
171.0561647415161,17.8,22.4,296.625,305.40625,319.21875,266.34375,24/09/2021,17:08:18
174.63463044166565,17.8,22.6,296.40625,301.71875,308.9375,250.21875,24/09/2021,17:08:21
178.0822434425354,17.8,22.2,295.34375,301.84375,305.5625,225.65625,24/09/2021,17:08:24
181.0859134197235,17.7,21.8,297.21875,302.71875,313.28125,258.4375,24/09/2021,17:08:28
184.52232933044434,17.7,21.9,299.84375,306.6875,317.65625,262.59375,24/09/2021,17:08:31
188.08577394485474,17.7,22.1,297.375,302.71875,316.71875,258.6875,24/09/2021,17:08:35
191.53088212013245,17.5,21.8,296.75,304.90625,316.53125,226.5,24/09/2021,17:08:38
194.55044960975647,17.5,21.8,297.0625,303.96875,315.21875,253.78125,24/09/2021,17:08:41
197.62112832069397,17.5,22.5,296.625,299.8125,319.0,265.96875,24/09/2021,17:08:44
201.09114503860474,17.5,22.7,298.03125,302.53125,320.15625,266.34375,24/09/2021,17:08:48
204.56604385375977,17.6,24.1,295.71875,302.375,304.625,219.25,24/09/2021,17:08:51
207.57493257522583,17.6,24.3,298.40625,307.0625,321.65625,265.28125,24/09/2021,17:08:54
211.1417942047119,17.5,24.2,295.9375,304.21875,313.21875,255.4375,24/09/2021,17:08:58
214.6662220954895,17.5,26.8,296.40625,303.5625,318.5,264.28125,24/09/2021,17:09:01
218.07062482833862,17.4,26.8,296.59375,307.53125,322.4375,265.625,24/09/2021,17:09:04
221.09565830230713,17.3,26.6,296.5,302.375,319.46875,263.53125,24/09/2021,17:09:08
224.63650918006897,17.2,26.5,298.5625,306.875,319.9375,267.03125,24/09/2021,17:09:11
228.14546275138855,17.0,26.2,297.90625,305.40625,316.65625,259.125,24/09/2021,17:09:15
231.62177205085754,16.8,26.4,295.3125,304.125,318.6875,260.1875,24/09/2021,17:09:18
235.12142419815063,16.6,26.1,294.4375,306.65625,320.59375,265.53125,24/09/2021,17:09:22
238.56630754470825,16.6,26.0,294.625,303.46875,321.84375,265.15625,24/09/2021,17:09:25
241.55007982254028,16.9,26.3,295.03125,304.625,320.4375,262.90625,24/09/2021,17:09:28
244.57103991508484,16.9,26.3,297.5625,308.3125,320.78125,265.28125,24/09/2021,17:09:31
248.10641407966614,16.9,25.1,297.4375,306.96875,320.65625,265.28125,24/09/2021,17:09:35
251.55031037330627,16.9,25.1,296.5625,305.46875,320.78125,266.4375,24/09/2021,17:09:38
254.53549909591675,17.0,25.5,296.84375,302.21875,323.46875,268.9375,24/09/2021,17:09:41
257.58488965034485,16.8,24.7,295.90625,303.1875,319.0,260.09375,24/09/2021,17:09:44
261.06917452812195,16.8,23.0,294.65625,301.65625,316.6875,257.5,24/09/2021,17:09:47
