UNIX time mavlink, time since system boot mavlink, lat, lon, alt, relative_alt, vx, vy, vz, hdg
1632133169235016,3050747,380010,3050747,0,0,0,0,0,0
1632133187237856,3068749,380010,3068749,0,0,0,0,0,0
1632133191731995,3073244,380010,3073244,0,0,0,0,0,0
1632133196241698,3077753,380010,3077753,0,0,0,0,0,0
1632133200733757,3082245,380010,3082245,0,0,0,0,0,0
1632133204738012,3086250,380010,3086250,0,0,0,0,0,0
1632133207737762,3089249,380010,3089249,0,0,0,0,0,0
1632133210735490,3092247,380010,3092247,0,0,0,0,0,0
1632133213737954,3095249,380010,3095249,0,0,0,0,0,0
1632133216737591,3098249,380010,3098249,0,0,0,0,0,0
1632133219733934,3101245,380010,3101245,0,0,0,0,0,0
1632133222733997,3104246,380010,3104246,0,0,0,0,0,0
1632133225736739,3107248,380010,3107248,0,0,0,0,0,0
1632133228733894,3110245,380010,3110245,0,0,0,0,0,0
1632133231735863,3113247,380010,3113247,0,0,0,0,0,0
